"Rock Club London", "Rock out with Rock Band karaoke."
"Sex Work and Whedon: Echo from Dollhouse and Inara from Firefly - with the Whedon track", "Using a sex-positive framework which centers on choice and consent, we’ll look in depth at Whedon’s sex workers. Using their characters and stories to explore the fundamental difference between sex work and human trafficking, we will also discuss female agency, sexuality and bodily autonomy. We aim to explore what, if anything, Whedon is trying to tell us. Talk by Fran Haswell."
"Nine Worlds Stitch n Babble", "Social knitting and drop-in beginner’s workshop. Bring your projects and get to know other knitters at Nine Worlds, or bring yourself and learn how to knit with needles and yarn provided. Feel free to turn up whenever."
"Super Speedy Yarn Crafts", "Projects using needles, hooks, yarn and an hour Finish a selection of projects within this hour long session and take your completed project home with you. Projects range from pom poms to granny squares to baby squid monsters. Kidfriendly and some projects easily picked up by non-crafters."
"CosKnitting: knitting for cosplay and fanart", "Yarncrafts are overlooked when it comes to cosplay. Do you have the world’s most beautiful Jayne hat? Are you searching for the right stitch pattern for a medieval snood? Have you spent hours carefully replicating Xander’s most stylish jumpers? Show off your yarn-based costumes or fan-inspired items and swap skills and tips. There’s even a prize for the winner in our Best Knitted Fan Item line-up!"
"Brain of Knitain Quiz", "Form a crack team of knowledgeable knitters and compete against others to become the Brain of Knitain. Freat fun with great prizes. Not all questions will be yarn-based - non-knitters welcome."
"Amnesia - a supernatural mystery", "The end of the world is nigh. You were meant to do something very, very important. But you can only remember your own name. Who are these other people? Why are you trapped in a room together? Find out if you are a hero or a villain. Join with others to discover your secret mission and decide the fate of the world. The clock is ticking... Written by Sarah Cook of Firecat Masquerade."
"Doctor Nefarious and the Paradise Project", "Welcome to the Paradise Island resort! A deluxe hotel resort set on a Caribbean Island with staff ready to attend to your every need. Don’t miss the Paradise Casino, the world’s premier destination for the rich and beautiful. Deep beneath Paradise Island lies the secret lair of the infamous villain, Dr Nefarious. He gives the orders that make Presidents tremble. He makes the plans that will bring the free world to its knees. Dr. Nefarious is currently enjoying his regular holiday. And that satellite death ray had better be ready when he gets back. Written by Daniel Taylor, Su Jolly, Mike Snowden, Nick Curd and Clare Gardner. Players are welcome to drift in and out of the game throughout."
"theatrelarpwritingworkshoppartonestructureideasgeneration", "Ever been curious about writing your own LARP? Participants will write a basic LARP set in the Whedonverse. We’ll talk you through the process, and show you a few tools and techniques. At the end you should have notes on characters, with goals, relationships and plots, and a fair idea of where the game is set and how it should progress."
"theatrelarpwritingworkshopparttwoplaytestdiscussion", "Grab the collated version of the game we wrote in Part One and have a go at playing it! Then we’ll discuss what worked and what didn’t, how the game might be edited and how to achieve different variations, themes and styles. Watching people take something you wrote and make it real is a fantastic experience."
"Suffering Sappho! Queer representation in superhero comics", "Striking costumes. Secret identities. Fights for justice. Superhero comics have always had a resonance for queer fans and major publishers like Marvel and DC are increasingly including out queer characters in flagship franchises. But this is yet to reach the wider mainstream. The queering of superhero narratives is not new - but are we reaching our own golden age? Comics creators and fans discuss this interesting time in major comics, indies, webcomics, literature about comics, and all other facets of this rich and broad medium. Guests: Amal El-Mohtar, Cleo, more TBC"
"Positive practice: awesome portrayals of people with mental illness", "Those with mental illness aren’t just collections of symptoms - we’re at this con, in these panels, wearing awesome cosplay we spent the last three months cobbling together. This panel aims to critically celebrate fiction that knows this. We want to talk about the stories that don’t just get the illness right but get the person right too -- especially those that strike a note about life containing, but not defined by, mental ill health. With Katherine Fabian, Iona Sharma, more TBC"
"Tea Party", "The LGBTQAI and Race and Culture tracks cordially invite you to a tea party in our lovely headquarters. Decorate and eat cakes and cookies, meet others, chat over tea and coffee, and help us declare the weekend officially open!"
"Rule 63: Gender and subversion in history, popular culture and fandom", "Rule 63 states that for every fictional character, there is an opposite gender counterpart. This popular rule has obvious power for subverting male-dominated media and potential for introducing trans narratives. In its positioning of ‘opposite’ genders, it is also potentially troubling from trans and non-binary perspectives. This panel will discuss Rule 63, from real historical examples of people inhabiting ‘opposite’ genders to contemporary fanworks, through queer and feminist lenses. With Tab Kimpton, Zen Cho, Alex Dally MacFarlane, more TBC"
"Wouldn’t It Be Cool If…", "What stories do we just not get enough of? The characters we’d fall in love with if only someone would create them? From TV shows pitched in Tumblr tags to gifsets from imaginary films, fandom is bursting with ideas for the media we dream of. Join a panel of creators and fans to talk about the best shows, films, books and games that never were – and pitch your own. With Roz Kaveney, Amal El-Mohtar, Maki Yamazaki, Cleo"
"Twine For Beginners Workshop - with the Video Games Culture track", "Want to make a game, but feel intimidated by how much you’d need to learn? We’re here to show you that doesn’t have to be the case – if you can write some paragraphs and follow simple rules, you can make a game with Twine! We’ll cover the absolute basics: writing pages, linking them together and what people do to change how the story behaves. If you can, bring a laptop and you can start getting your stories playable."
"bifroumlst", "Featuring Elaine Scattermoon, Amal El-Mohtar, Sally Outen, The Dykeness, Sebastienne Stardust, Dr Carmilla and Lashings of Ginger Beer Time. Named for the shimmering, burning rainbow bridge of Norse legend, Bifröst is an unforgettable night of glitter, rock, and fabulosity. Kicking off in Commonwealth with the cabaret, we’ll move over to Connaught for All The Dancing, led by our brave captain DJ Ruth Pearce."
"diversifyingyayouthvoicesonyouthliterature", "Join LGBTQAI+ and Comics Fandom for a discussion group - if you're a young adult, we want your opinions, voices and reaction selfies on young adult-oriented literature. We might also want a bit of lunch and a small amount of excitable squealing."
"Aliens and Outsiders: asexual stereotypes and how to break them", "While there are few canonical asexual characters in our media, fandom contains a wide range of asexual interpretations. We look at asexuality and fandom, discussing which characters are often labelled asexual and why, and considering other candidates. Focusing on TV fandoms, discussion will be open to all, so come along with favourite examples – positive or problematic. With Neth Dugan, Pip Janssen, Kathryn Glover, Helen Guthrie"
"LGBTQAI+ After-Party", "Wrapping up the official programme, join the LGBTQAI+ Fandom team in the bar for a farewell drink and chat. Let us know what you thought, and what you’d like to see next year!"
"Finding Your Voice", "Whether you want to find out more about podcasting in general or you’re thinking of starting your own podcast, this panel is a great place to start. Join seasoned and new podcasters as they discuss topics like how to decide what your podcast is about, who will be your audience, and how do you find, grow and, most importantly keep, that audience? Speakers: Dave Probert, Emma Newman, Michaela Gray, AL Johnson, Dan Hart"
"Realities of Podcasting", "The panel will reveal some of the realities, both good and bad, that are faced by today’s podcasters. We also look at why podcasts end, the mechanics of podcasting, how do you define a successful podcast and if you can make any money from doing it. Speakers: Martyn Havell, Debbie Timmins, Sol Craighead Wheeler, Gillian Coyle, Alasdair Stuart"
"Democratisation of podcasting and new media", "In this TED-style 20 minute talk, Dr Scott Grandison takes his audience on a journey through podcasting and associated new media, discussing their evolution and where the future may lead."
"The 1st Annual Podcaster Games", "Two teams of podcasters go head to head in the ultimate battle of genre knowledge covering all things geek from films, TV, comics, books and much more. One team will emerge victorious and go home with the coveted trophy, while the others go home with nothing. Players: Rebecca Duty, Ash Farbrother, Laura Kate, James Sims, Paul Heath, Lizbeth Myles. Games Masters: Gavin Jones, Dan Marshall"
"The Life and Times of a Podcaster", "In this retrospective panel, podcasters talk about their overall experiences with podcasting, including how they got started, why they do it, and what they get from it personally. Speakers: Nicolas Papaconstantinou, Rebecca Duty, Ed Fortune, Stephen Lacey, Phil Hobden, Alex Fitch"
"The Power of New Media", "This interactive roundtable panel follows on from Saturday’s talk about new media. Four podcasters will discuss and explore with the audience the growing power of new media and the rise of the everyman journalist. Speakers: Barry Nugent, Emma Newman, Stephen Aryan, Scott Grandison"
"Voices From Other Worlds", "Readings from authors of colour on the theme of race and culture. Guests: Taran Matharu, Zen Cho, Adam Lowe"
"Writing The Other: workshop for writers", "How do you write ‘the Other’ without falling into common traps, harmful tropes and clichés? Stephanie Saulter explores these issues in a writers’ workshop, with exercises, discussion and a Q&A. This workshop will be strictly limited in numbers."
"This Will Always Be Your Home: Race, Culture, and Fannish Life", "Western media fandom, from zines to Tumblr, has been something special to so many people: a community and a home. We live here too – so what does it mean to be a fan of colour? Guests: Iona Sharma, Frank Voss, Koel Mukherjee and Kelly Kanayama"
"readingsfwhilebrown", "For many of us, reading science fiction and fantasy was a formative experience. It introduced new ideas and shaped what we knew or hoped was possible. But what imaginative leaps does a reader have to make to buy into worlds that don’t include anyone who looks or talks like them? And what impact does making that imaginative leap, time and again, ultimately have? Genre writers and readers talk about their experiences of reading science fiction while brown. Guests: Aishwarya Subramanian, Taran Matharu, Camille Lofters, Rochita Loenen Ruiz"
"Introduce Your Retro Fandom To The Family", "Tell us all about your ideal pre-Millenial show for friends, family and fandom. Is it the one you’d be happy to bring home to meet the parents, something to enjoy with a partner or that embarrassing friend like Bernard Black, who is likely never to be invited again?"
"Who’s Afraid of Joseph Campbell?: the Hero’s Journey", "Joseph Campbell’s definition of the Hero’s Journey has been used by screenwriters for generations, in shows including Star Wars, Babylon 5, and Da Vinci’s Demons. We’ll explore why this model has so much appeal, why and how it is received, and where screenwriters have developed, or subverted, Campbell’s original ideas."
"Chaos Costuming the Old Shows", "Cosplay has become elaborate and wonderful these days. Back in the mists of time, there existed a band of Redemptioners armed with safety pins, scraps of fabric, wigs, glue, sewing machines, and the address of their local charity shop. These brave souls boldly created costumes from Babylon 5, Blakes 7, Doctor Who and others, all in the course of a convention workshop, leading to much fun. This panel will look at the most hectic moments of chaos costuming: what works, what doesn’t, quick fixes, how to cosplay on a budget."
"Interrogating The Old Shows: Retro Fandoms and Cultural Critique", "The passage of time has excused a multitude of sins in design and production values on shows now considered Retro. Can, or should, we do the same with issues of sexual, gender and racial politics, by viewing them in their historic and cultural contexts, or should some shows and episodes be deemed unwatchable for a new generation of fans? How do original fans of these shows feel while rewatching them at decades’ distance? Participants and audience can flag up triggers before discussion begins, and we will try to avoid direct discussion of race-,gender- and sexual orientation-motivated violence. If these issues arise we will stop discussion to give anyone who wishes a chance to leave."
"Open storytelling", "Come spend ten minutes to a couple of hours with us telling your story. No experience needed! Just come chat at any time and we’ll help you tell a story of topic and length of your choosing. We’ll help to keep the story going and provide cues to spark your imagination. Our games can be explained in minutes. If you’ve ever wanted to play a roleplaying game (RPG) but been put off by vast tomes and rules-lawyering, check us out."
"Military Retro Fandom Top Trumps", "Back in the days before widespread CGI, most alien invasions were repelled by brave bands of brothers and sisters whose chief failing was needing to appear on camera several times over to give the illusion of numbers. Top trumps compares the strengths and weaknesses of fictional military organisations including UMIT, SG1, Earthforce and the Colonial Marines, in strategy, weaponry and who had the coolest uniforms. Feel free to turn up in battle dress - or indeed, dress uniform."
"Ruler of the Earth Elections", "The Earth needs concerted rule to unify its nations, distribute wealth, privilege and resources fairly and convince the Intergalactic Powers to take us seriously for once. The aim of the game is to form teams and help worthy candidates prepare and present a campaign, after which there will be five-minute presentations followed by audience questions and voting. Our experienced policy enforcer and spin doctor will be on hand to help. Any characters from any medium are welcome as candidates, and you don’t have to be an experienced roleplayer or cosplayer to take part."
"Firefly RPG: River’s Absolution", "There’s a young lady on your boat with a mighty fine bounty on her head. Not all the crew agree, but it’s time to take her in. Five men and a young woman hurtle through space towards a Core World maximum security facility. Come along and play one of these men, or River, and find out where River’s absolution lies."
"Buffy RPG: Sunnydale High", "Come play a Witch, Werewolf, Demon or Hunter! Our story about the messy lives of teenage monsters in a day at Sunnydale High. We’ll use the Monsterhearts game to recreate the adolescent relationships and dramas of a monster-filled High School!"
"Photographing the Universe – with Dr. Marek Kukula, Public Astronomer", "Technology and astronomy have always gone hand in hand, with advances in astronomical instruments revealing ever more astonishing views of the cosmos, while new scientific ideas and theories drive the development of ever more powerful tools for testing them. The revolutionary impact of the telescope on astronomy is a familiar story, but few people know how much photography and astronomy have influenced each other over the last two hundred years. From early drawings to the latest high-resolution digital images and from pin-hole cameras to the latest electronic detectors, this talk explores astronomy’s long association with photography taking in science, technology, art and history on the way."
"The Longitude Story - from projectors to punks – with Dr. Richard Dunn, Senior Curator For The History Of Science", "The Longitude Season at the Royal Observatory and National Maritime Museum is celebrating the 300th anniversary of the 1714 Longitude Act with a series of exhibitions, events and planetarium shows. The Longitude Act famously offered life-changing rewards to anyone who could solve the ‘unsolvable’: finding a ship's position at sea. Successful ideas came forward eventually, but hundreds of other projects proved to be dead ends. Richard Dunn, who has helped put the Season together, will look back at the miscellany of schemes sent to the Board of Longitude, thinking about the extent to which they were crazy (or not) and how they have inspired steampunk artists today. We’ll explore some of the schemes that didn’t work but could today, and think about innovation and the difficult process of getting inventions made in the Age of Enlightenment."
"Build Your Own Spectroscope – with Brendan Owens, Astronomy Programmes Officer", "Spectroscopes are vital in studying astronomical phenomena. In this interactive workshop, we’ll build our own spectroscopes, play with discharge tubes, and learn about how astronomers can study the composition of distant astronomical bodies."
"Do Black Holes Really Exist? with Dr Marek Kukula", "Black holes are one of the most exotic predictions of theoretical physics and debate still rages about the ultimate fate of the material which falls into them. But do black holes really exist, and if so how and where should we look for them? This talk describes the latest astronomical evidence for black holes in our own galaxy and beyond."
"Travellers of the Fourth Dimension: the secrets of time travel – with Brendan Owens", "In the classic George Pal production of H.G. Wells’ The Time Machine, a turn-of-the-century inventor has created the titular device to investigate the future of mankind. In this talk we will explore together the secrets of the fourth dimension and take the glorious steampunk Time Machine in for a service to fit it with our latest understanding of time and space. Ultimately we’ll ask the question – is time travel really possible?!"
"Steampunk Telescopes – with Tom Kerss, Planetarium Astronomer and Observing Expert", "A talk on the golden age of giant Victorian refractors, including the Observatory’s own 28”, and many others around the world. This talk will consider: what would the Universe look like to us if we still relied on this technology today? What could have been theoretically possible within the realm of giant refractors? Could we have built and launched a space telescope like Hubble using steampunk rules? We’ll also have a look at examples of historical telescopes – many of which, such as the Paris Exhibition Telescope from 1900, already have a great steampunk aesthetic!"
"Temporal Lobes and Spiritual Experiences, with Niall McCrae", "Niall McCrae is a lecturer in mental health at King’s College London. In his work on spiritual experiences in temporal lobe epilepsy he has developed his critique of the naive, materialist tendencies in the doctrine of evidence-based practice."
"Magicians and Misdirection: using magic for psychology research, with Robert Teszka", "Magicians have the uncanny ability to manipulate how people perceive the world, and this is something worth understanding. The techniques of misdirection provide a useful framework for understanding attention and its link to eye movements, and magic in general is a valuable tool for designing research. In this talk, Rob discusses how magic is studied experimentally, and what the findings of magic research mean for the psychology of attention and awareness."
"The Psychology of Alien Contact, with Professor Chris French", "Thousands of people worldwide claim to have had contact with extraterrestrials, and, in many cases, to have been taken on board spaceships and subjected to medical examination. How are we to explain such claims? With a few notable exceptions, those making such claims do not seem to be deliberately lying nor suffering serious psychopathology. A number of psychological factors have been used in attempts to explain such claims, including sleep paralysis, personality factors and unusual activity in the temporal lobes of the brain."
"Interview with a Vampire Expert, with Deborah Hyde", "The Vampire has fascinated Western Europe from the early 1700s, but was a real part of Eastern European lives long before. In the last three centuries, vampires have been taken up by art of all kinds and has had a lasting effect on fashion and culture. But what is the authentic story behind tales of the predatory, living dead? Can we understand more about being human by studying these accounts? "
"London Skeptics Roundtable", "Topic tbc. London Skeptics in the Pub is an award winning lecture series, covering science, technology, history, philosophy and related current affairs."
"Psychics and Pseudoscience, with Michael Marshall", "It’s easy to think of pseudoscience existing in a glass case at a museum – something to be examined and critiqued from a safe distance, but not something to touch and to play with. Michael Marshall will show what happens when you begin to crack the surface of the pseudosciences that surround us – revealing the surprising, sometimes-shocking and often-comic adventures that lie beneath."
"Autism Treatments – the good, the bad and the ugly, with Tannice Pendegrass", "Tannice discusses the toxic treatments that alternative medicine subjects many autistic children to. She reveals a murky world of causes and ‘fixes’ that alternative medicine proposes. Careful to weigh up the costs and benefits of alternative medicines in the context of frightened parents who lack support, Tannice’s talk has been described as “informative, eye-opening and anger-inducing” as well as “packed full of information to entertain, inform and shock”."
"Social Gaming with The Haberdashery Collective", "Ages 16+. If you fancy a change from sitting down in a room listening and talking to people, come and play some active games with the Haberdashers and other Nine Worlders!"
"London Bubble Football League Kickstarter Launch", "What’s bubble football? It’s football, with a zorb on your head! The silliest sport since Quiddich is launching a Kickstarter to fund a full London league. Drop by for cake and balloons at our miniature sized fifteen-minute launch party. Be the first contribute to the Kickstarter as it goes live, or just watch the video and enjoy the cake."
"In Conversation With Reiner Knizia – Award Winning Board Game Designer", "Hear from and ask questions of Reiner Knizia, the two-time Spiel des Jahres-winning designer of many classic board games, including Ingenious, Keltis, Tigris and Euphrates, and Wer war’s/Whoowasit. Interviewed by Matt Johnson."
"signingwithreinerknizia","Reiner will be signing photos and any of his board games you’ve brought in the lobby outside Room 38. Our friends at Leisure Games in the vendor hall will be stocking Reiner's games, if you'd like to buy before he signs!"
"Behind the Curtain: Game-Making with the Haberdashery Collective","We encourage you to specifically pay heed to the people behind the curtain, for once! Join the Haberdashers for a gentle Sunday morning discussion, play-testing and game-making session. This session is primarily for those with an interest in games design, talking a little bit about what and how the Haberdashery Collective designs and evolves games, and sharing knowledge and experience on designing and running games."
"So you want to write Steampunk", "Steampunk books aren’t only novels! Come and meet three authors of different kinds of Steampunk books: Liesel Schwarz, Karl Burnett, and John Naylor (and chaired by Andrea Burnett). Liesel is the author of the award winning series, “The Chronicles of Shadow and Light” and has recently completed “Writing SFF: a Guide To Writing Science Fiction and Fantasy”. Karl, under the nom de plume, “Arthur Foote”, writes and performs steampunk poetry. As one half of the Cogneys, he is seen at many an event. John Naylor is editor of the Steampunk Gazette, an international study of steampunk, as well as being a steampunk artist and event organiser. Hear how they are inspired, and what they make of steampunk as it develops into a genre in its own right."
"Not Just Books", "Steampunk is much more than a literary genre. Meet Yomi Ayeni, Gary Nichols, and Lady Elsie, chaired by Malika Andress, who will discuss their take on the world of Steampunk. Yomi Ayeni is an artist, director, author and DJ. He is the creative lead on the global transmedia project “Clockwork Watch”. Gary Nichols is a photographic artist whose current project, “The Imaginarium”, is showing in Galleries and events in the UK, and going to the US. later this year. Lady Elsie is a costume designer, working in T.V. She currently has two pieces displayed at the National Maritime Museum Greenwich’s “Longitude Punk’ed” Exhibition."
"Punk your Nerf", "Nerf Guns are a great steampunk accessory. This session will give you some hints and tips on how to take a toy, and with a few easy steps, turn it into a Steampunk weapon and accessory. There will be time to show you how to run a Steampunk Shoot out and join in a Steamwestern Shoot out."
"Multiculturalism and a Global Perspective on Steampunk", "When people see Victorian fashions reimagined in steampunk it is perhaps easy to assume that Victorian values go along hand in hand with this, but what is the truth about steampunk as scene, genre and movement? With Yomi Ayeni, Malika Andress and John Naylor, chaired by Andrea Burnett. Yomi Ayeni is the creative lead on the transmedia project Clockwork Watch which deliberately strives to reimagine multicultural concepts. Malika Andress is responsible for marketing at the National Space centre with international reputation and reach and is also a steampunk promoter and performer. John Naylor works primarily in television as a production designer and historian. He is editor of the Steampunk Gazette, the first steampunk book to deliberately consider multiculuralism and a global perspective in the genre."
"Gin Appreciation - Ages 18+", "Stop those overbearing aromas of pretentious rubbish in their tracks and come along to a session packed with fun facts, helpful information and, most importantly, the opportunity to drink gin where the excuse is… research!  Lady Elsie and Lady M bring you world leading gins and several that will shock and surprise, for you to sample, as well as some advice on cocktails, mixers and the perfect accompaniment to your beverage of choice (more gin!)"
"Steampunk Cabaret: a steamy evening of entertainment","Join us for an evening of Steampunk entertainment, including: Dr Corvas Marconi, with his own brand of Mentalism; The Cogkneys: a music hall comedy duo with a steampunk ethos, bringing old style music hall songs, parodies and ribald poems together in a steam-powered explosion; You Only Laugh Twice (No Guarantees): a comedy sketch about the meeting of super spy Count Rostov and the notorious femme fatale Mata Hari. Thadeus Tinker will attempt to hold this motley crew in check and entertain you with his look at life through steamy specs."
"Here’s One I Made Earlier: steampunk makers share their hints and tips", "Herr Doktor is an artist and model maker whose work is currently on display at Royal Maritime Museum Greenwich as a part of the Longitude Punk’ed exhibition. Mark Simpson is a talented leather worker, and will show you how to work with this versatile material. Andrea Burnett is a part time Milliner at Mothers Ruin Millinery. Her unique hats are often seen at Steampunk events."
"femalecharactersinsteampunkstrongwomeninsteampunkgetanaudience", "Gail Carriger, Liesel Schwarz and Toby Frost discuss female characters in their novels, guided by Count Rostov. In most genres, the main characters are male. Steampunk has a whole bevvy of sassy women who do not let their petticoats get in the way of solving puzzles or having fun."
"Corsets in an Hour", "Dressmaker and corset maker Trevor Wilson will help demystify the corset. In an hour or so, he will show from start to finish how a corset is made and fitted. This will inspire you to have a go at home and make one of the iconic steampunk garments."
"The science of Afternoon Tea: how does chemistry help us to make scones?", "It is often said that a Punknic could feed all of the UK in one very splendid and sociable event, but what should the discerning Steampunk pack to ensure they field a flawless afternoon tea?  Drop in to discover how science can make your scones rise, work out the perfect ratio of jam and cream, and learn how to achieve a faultless marriage of ingredients for a sandwich that would make Tesla blush and Edison stroke an elephant. Presented by Malika Andress of the National Space Center. "
"Steampunk Fashion", "The whole Steampunk Track team will strut their stuff in a fashion show. Each of our crew will show you how to put together many styles of outfits - it’s not just about wearing goggles and brown."
"indiehavenchats", "The wonderful people from Indie Haven will be on hand all day chatting to indie developers new and old about their games and the rest of games culture."
"Indie Marketing", "You may have unparalleled art direction, the finest narrative immersion, and the most satisfying mechanics, but if no-one has heard of your game then no-one will be able to appreciate all your hard work. Our panel of press, marketing and PR people will give you the best tips on how to get people playing your games."
"Failing Faster", "Every good game starts with a great idea – you know, for the story, the gameplay, the worldbuilding, the scripting, the...wait. Stop. There’s a better way to get going, and that’s the idea of failing faster: you’ll have a lot of failures before you hit the right approach, and the sooner you find them, the easier they’ll be to fix. Instead of trying to do everything at once, we’ll talk about the best ways to get your prototypes up to speed – and avoid having to scrap everything over one tiny mistake!"
"Meet all the people", "Carrying on from the morning’s Indie Haven chats, the team will be around, looking to talk games with anyone and everyone! And, since we expect they’ll be swamped, we’re also opening this up to everyone. Got a game you want some feedback on? Looking to meet other UK devs? Or maybe you just really like playing games and fancy seeing what other people are up to? This slot will be whatever you want it to be, so come along and get involved!"
"Game Police vs Indies", "Video games are still a rapidly evolving medium which are trying to find themselves within the wider cultural context. And in such a medium, packed with talented people who are constantly pushing the limits of what games can be, is it even possible to say what a game is any more? Of course it is. According to the Game Police, anyway! Come see them take the indies who dare to create “things which are not games” to task!"
"Need-to-Know About The Indie Life", "So, you want to be an indie dev. Or maybe you are, but you’re wondering if you quite ‘get’ how things are done. We’ll look at the pitfalls, the problems and potential financial woes you might encounter – alongside the best way to chat to your fans, and getting to know the UK scene. Basically, if it’d be a useful thing for you to know, we’ll talk about it. And if we don’t? There’s plenty of chance for questions!"
"The Mechanisms", "The Mechanisms are a bunch of steampunk space pirates who enjoy telling stories about their exploits through the medium of music. Give our game jam theme of fairytale retellings, we thought we’d leave you time to enjoy them first hand! Go check out their sets: Ulysses Dies at Dawn and High Noon Over Camelot."
"Philosophy in Games", "Ever wondered whether video games have the potential to allow us to test out ethical theories and how practical they are (hint: yes). Or perhaps you’re wondering if the deterministic nature of the genre can tell us something about our own world (hint: yes). Maybe you’re just wondering about the nature of identity, and if anyone has looked at the implications of an online avatar (hint: yes). Come and join in our discussion of philosophy and games, where we’ll look at all this and more."
"Personal games", "Most people think of the novel or poetry as the domain of personal reflection, but gaming has a lot of potential for dealing with personal issues. Thanks to its interactivity and the ability to use more than just text, games are a great place to engage people’s empathy rather than sympathy. Imagine being able to step into the shoes of someone struggling with mental illness, or experience first hand the difficulties of mending broken relationships rather than simply hearing about them. That’s what gaming allows you to do, and that’s what we’ll look at in this panel."
"Advanced Twine Workshop", "So you’ve got the basics of Twine down: you’ve made a few stories, remembered some variables and maybe even played with the styling. But maybe you want to see what else it can do? Well, this is the session to show you just that: arrays, objects, macros and more, we’ll show you how to get your games to do exactly what you want. Bring a laptop to work on your own stuff, or just check out the others."
"Cara’s Fireside", "Rounding out the convention in front of Cara’s fireplace for a relaxed evening chat about life, video games, and whatever catches her and her guest’s interest."
"The Symbolism and Metaphor of Buffy, with Shane Davis", "Exploring the subtle and less than subtle symbols Buffy uses to comment on real life. This talk breaks down the hidden messages throughout the show to perhaps explain why Buffy resonates so well with fans. Come and share what you, personally, have taken from Buffy too."
"Avengers Jossemble! Burdened With Glorious Squee, with Tlanti", "With the movie and characters inspiring cosplays, fan fiction, fan art and interest in the characters, let’s celebrate what this colourful, action packed movie has inspired!"
"The Joss Whedon Quiz", "A quiz on all things Whedon. Assemble your own team of six, or come along to be placed with fellow fans!"
"shutthatcrazymouthexploringtheconceptofmentalhealthandmadnessinthewhedonverse", "Joss Whedon is well-known for writing diverse and unusual characters with a whole host of personal insanities and torments, from Buffy’s deathwish and River Tam’s schizophrenia to Echo’s multipile identity crises. But how accurate are his depictions of mental illness, and have they done anything to reduce the media’s stigma of it?"
"LGB(T) Representation in the Whedonverse:", "When Willow and Tara progressed from “doing spells” to being “lesbian, gay-type lovers” in Buffy, their relationship was ground-breaking for genre television. Buffy’s impact can be seen in shows that came after, like James Cameron’s Dark Angel and Julian Jones and Lucy Watkins’ Hex where a LBF - lesbian best friend - became almost de rigeur. Ironically, as genre TV has become more open to LGB(T) representation, from True Blood to Penny Dreadful, Whedon has apparently been moving in the other direction. Join us for a discussion about all things LGB(T) in the Whedonverse."
"Whedonverse Sing-Along", "Fancy yourself the next Lorne of Caritas? Then come on over for our Whedonverse Sing-Along tonight. Join us for a night of Once More With Feeling and Dr Horrible’s Sing Along Blog fun, and a few surprises! Our favourite pianist David Merriman to accompany."
"GoT: Season 4 in Review","We look back on a very eventful season 4 and reflect on the story so far. We'll also be asking why it is the TV show is even more brutal than the books killing off characters that are still alive and well in the source material."
"GoT: Justice","A major theme of season 4 was justice. We saw Tyrion face a biased and unfair judicial trial followed by a crushing trial by combat. But many other characters faced justice of one sort or another or delivered justice. Is Daenerys right to free the slaves of Meereen delivering them into a harsh world that offers little opportunity for them? Is being sentenced to life on the Wall as a member of the Night's Watch fair justice for criminals? We'll be examining the justice systems of Westeros and discussing their fairness or lack thereof."
"GoT: Gaming Session","Join us for a session of the Game of Thrones Board Game by Fantasy Flight Games. Which House will take the Iron Throne in this game of warfare and political intrigue? We also have the awesome Firefly and Discworld: Ankh Morpork board games available to play."
"GoT: Filming Locations","TitanCon organiser Phil Lowles talks about his experiences of visiting filming locations in Northern Ireland and Dubrovnik, Croatia. With tips for reaching the hard to find locations and cool things to look out for. Phil will also answer audience questions about TitanCon."
"GoT: Going Beyond the Books","In season 4 of the show we went beyond the books for the first time with the answer to what happens to Craster's male babies. From here on out we'll be seeing many more questions answered by the TV show long before we get to read them in the books ­ almost certainly including how the story ends. The question is will fans switch off and wait for the books or see things through to the end on screen?"
"GoT: Signing","Autographs cost £15 each."
"thenineworldsfilmfestivalshortsshowcasepart1","The first session of screenings for our officially selected shorts, submitted from all over the world. This session features dystopias, robots, paranoia, bad hair days and badly run geek conventions – oh my!"
"thenineworldsfilmfestivalshortsshowcasepart2","The second session of screenings for our officially selected shorts, submitted from all over the world. This session is the one with the sex, violence and juicy stuff – exploding heads, sexbots, phone sex, Freddie off of Angel saying naughty swears and a couple of board games."
"thenineworldsfilmfestivalshortsshowcasepart3","The final session of screenings for our officially selected shorts, submitted from all over the world. This session is full of nice things, child-friendly things and people generally being nice to each other – featuring playgrounds, aliens, fantasy kingdoms and a couple of secrets of the universe."
"illusionsandbrains","The human brain is the most powerful information processing device we know, and one of its primary input devices is the eye with its millions of interconnected light receptors. And yet despite this power and complexity, we are constantly misled by even the most simple of optical illusions. Why is this? In this talk, David Corney will demonstrate a number of illusions and argue that our perceptions of them are a predictable response to ambiguous images, and a consequence of our evolution and development. He will also discuss whether it’s possible to learn to avoid seeing illusions, and whether aliens would also see them..."
"speedfriending","A quiz based speed-friending event. Want to meet other geeks and make new friends? Then this speed-friending evening from London Geek Chic is for you. You will work in small teams to answer geekdom and science questions and you can choose to stay with the team or defect to other teams, or all team members scatter, as you wish. Bottom line is, you need others to find all the answers, so you need to confer; and you want to make new friends, so you want to share... but there can only be one winner! Are you a lover or a deceiver? Please note the maximum number is (50) participants so please do arrive early to register for your place. Registration opens at 8.30pm, event starts at 9.00pm."
